location,date,vaccine,total_vaccinations,month
Argentina,2021-04-03,Oxford/AstraZeneca,660365,2021-04
Argentina,2021-04-03,Pfizer/BioNTech,3,2021-04
Argentina,2021-04-03,Sinopharm/Beijing,827494,2021-04
Argentina,2021-04-03,Sputnik V,3047816,2021-04
Argentina,2021-04-04,CanSino,3,2021-04
Argentina,2021-04-04,Moderna,3,2021-04
Argentina,2021-04-04,Oxford/AstraZeneca,674751,2021-04
Argentina,2021-04-04,Pfizer/BioNTech,3,2021-04
Argentina,2021-04-04,Sinopharm/Beijing,829152,2021-04
Argentina,2021-04-04,Sputnik V,3080238,2021-04
Argentina,2021-04-05,CanSino,3,2021-04
Argentina,2021-04-05,Moderna,3,2021-04
Argentina,2021-04-05,Oxford/AstraZeneca,708565,2021-04
Argentina,2021-04-05,Pfizer/BioNTech,3,2021-04
Argentina,2021-04-05,Sinopharm/Beijing,858270,2021-04
Argentina,2021-04-05,Sputnik V,3183254,2021-04
Argentina,2021-04-06,CanSino,3,2021-04
Argentina,2021-04-06,Moderna,3,2021-04
Argentina,2021-04-06,Oxford/AstraZeneca,734996,2021-04
Argentina,2021-04-06,Pfizer/BioNTech,3,2021-04
Argentina,2021-04-06,Sinopharm/Beijing,933397,2021-04
Argentina,2021-04-06,Sputnik V,3275628,2021-04
Argentina,2021-04-07,CanSino,3,2021-04
Argentina,2021-04-07,Moderna,3,2021-04
Argentina,2021-04-07,Oxford/AstraZeneca,765212,2021-04
Argentina,2021-04-07,Pfizer/BioNTech,3,2021-04
